,district_id,name,state_code,num_students,spiya_or_peer_deal,current_provider_deal,deal_current_provider_array
4995,953876,Lakeview School District,PA,1072,True,True,['Zito Media Communications']
4996,953877,Lampeter-Strasburg School District,PA,3040,False,False,
4997,953881,Laurel Highlands School District,PA,2989,True,True,['Verizon']
4998,953882,Laurel School District,PA,1165,False,False,
4999,953884,Lebanon School District,PA,4891,False,False,
5000,953886,Lehighton Area School District,PA,2376,True,True,['PenTeleData Limited Partnership I']
5001,953888,Ligonier Valley School District,PA,1599,False,False,
5002,953889,Penn Cambria School District,PA,1648,False,False,
5003,953890,Littlestown Area School District,PA,2764,False,False,
5004,953891,Lower Dauphin School District,PA,3712,False,False,
5005,953892,Lower Merion School District,PA,8353,True,False,
5006,953893,Lower Moreland Twp School District,PA,2259,False,False,
5007,953894,Methacton School District,PA,4840,True,True,['Sunesys']
5008,953896,Mahanoy Area School District,PA,1036,True,True,['Comcast']
5009,953897,Line Mountain School District,PA,1159,True,True,['PenTeleData Limited Partnership I']
5010,953898,Manheim Central School District,PA,2939,False,False,
5011,953899,Manheim Township School District,PA,5741,False,False,
5012,953900,Marion Center Area School District,PA,1384,True,True,"['DQE Communications', 'Verizon']"
5013,953911,Mid Valley School District,PA,1797,False,False,
5014,953902,Mars Area School District,PA,3310,False,False,
5015,953905,Mcguffey School District,PA,1630,False,False,
5016,953907,Mechanicsburg Area School District,PA,3995,False,False,
5017,953909,Mercer Area School District,PA,1118,False,False,
5018,953912,Midd-West School District,PA,2156,False,False,
5019,953913,Middletown Area School District,PA,2328,False,False,
5020,953915,Mifflin County School District,PA,4979,False,False,
5021,953916,Millcreek Twp School District,PA,6748,False,False,
5022,953920,Millville Area School District,PA,685,True,True,['PenTeleData Limited Partnership I']
5023,953923,Minersville Area School District,PA,1193,True,True,['Comcast']
5024,953924,Mohawk Area School District,PA,1457,True,True,['Zito Media Communications']
5025,953934,Montrose Area School District,PA,1381,False,False,
5026,953938,Mt Carmel Area School District,PA,1505,True,True,['PenTeleData Limited Partnership I']
5027,953946,Greater Nanticoke Area School District,PA,2259,True,True,['Verizon']
5028,953947,Nazareth Area School District,PA,4685,False,False,
5029,953949,Neshannock Twp School District,PA,1201,True,True,['Zito Media Communications']
5030,953954,New Kensington-Arnold District,PA,1970,True,False,
5031,953957,Norristown Area School District,PA,7399,False,False,
5032,953960,North Clarion Co School District,PA,602,True,True,['Armstrong Cable Services']
