district_id,state_code,primary_new_contract_start_date,clean_path_1m_sample,not_meeting,meeting,sample,population,num_students
882045,CO,2020.0,1,1,0,1,1,6364
882046,AR,2020.0,0,0,1,1,1,1147
882048,CO,2022.0,1,1,0,1,1,1878
882050,AL,2021.0,1,1,0,1,1,4834
882052,CO,2022.0,0,0,1,1,1,231
882053,AR,2020.0,0,0,1,1,1,764
882057,AL,2021.0,1,1,0,1,1,9653
882058,AR,2020.0,0,0,1,1,1,944
882060,CO,2022.0,0,0,1,1,1,213
882062,AL,2021.0,1,1,0,1,1,9209
882063,AR,2020.0,0,0,1,1,1,517
882066,CO,2022.0,1,1,0,1,1,1916
882068,AL,2021.0,0,0,1,1,1,494
882069,AR,2020.0,0,0,1,1,1,634
882071,CO,2021.0,1,1,0,1,1,1043
882073,AL,2021.0,1,1,0,1,1,1508
882074,AR,2020.0,0,0,1,1,1,2610
882075,CO,2024.0,0,0,1,1,1,2554
882078,AL,2022.0,0,0,1,1,1,2023
882079,AR,2020.0,0,0,1,1,1,1589
882080,CO,2022.0,1,1,0,1,1,1117
882083,AR,2020.0,0,0,1,1,1,492
882084,AL,2022.0,1,1,0,1,1,19352
882088,AL,2021.0,0,0,1,1,1,1048
882089,AR,2020.0,0,0,1,1,1,9920
882092,AL,2021.0,1,1,0,1,1,3664
882093,AR,2020.0,0,0,1,1,1,707
882095,CO,2021.0,1,1,0,1,1,517
882097,AL,2021.0,1,1,0,1,1,1086
882098,AR,2020.0,0,0,1,1,1,472
882101,CO,2021.0,1,1,0,1,1,13524
882103,AL,2020.0,1,1,0,1,1,55798
882104,AR,2020.0,0,0,1,1,1,1823
882107,CO,2020.0,0,0,1,1,1,203
882109,AL,2021.0,1,1,0,1,1,3499
882110,AR,2020.0,0,0,1,1,1,598
882113,CO,2020.0,1,1,0,1,1,1318
882115,AL,2021.0,1,1,0,1,1,30051
882116,AR,2020.0,0,0,1,1,1,877
882117,CA,2022.0,1,1,0,1,1,17024
882118,CO,2020.0,0,0,0,0,1,27187
882120,AR,2020.0,0,0,1,1,1,2104
882122,CO,2020.0,1,1,0,1,1,2388
882124,AR,2020.0,0,0,1,1,1,632
882125,CO,2020.0,1,1,0,1,1,3213
882126,CA,2020.0,1,1,0,1,1,14051
882128,AR,2020.0,0,0,1,1,1,372
882129,CO,2022.0,1,1,0,1,1,8012
882130,CA,2020.0,0,0,0,0,1,651
882132,AR,2020.0,0,0,1,1,1,551
882133,CO,2021.0,1,1,0,1,1,396
882134,AL,2021.0,1,1,0,1,1,7683
882135,CA,2020.0,1,1,0,1,1,1628
882137,AR,2020.0,0,0,1,1,1,587
882138,CO,2021.0,1,1,0,1,1,267
882140,AL,2021.0,1,1,0,1,1,4343
882144,CO,2022.0,0,0,1,1,1,2004
882145,AR,2020.0,0,0,1,1,1,1635
882146,AL,2021.0,1,1,0,1,1,2883
882149,CO,2020.0,0,0,1,1,1,435
882151,AR,2020.0,0,0,1,1,1,1423
882152,AL,2021.0,0,0,1,1,1,1492
882154,CO,2020.0,1,1,0,1,1,5589
882156,AR,2020.0,0,0,1,1,1,1078
882157,AL,2020.0,1,1,0,1,1,4395
882160,CO,2020.0,1,1,0,1,1,217
882162,AR,2020.0,0,0,1,1,1,1359
882164,AL,2021.0,1,1,0,1,1,1322
882165,CO,2020.0,0,0,1,1,1,1243
882167,AR,2020.0,0,0,1,1,1,638
882169,AL,2021.0,1,1,0,1,1,4143
882170,CO,2020.0,1,1,0,1,1,21477
882171,CA,2020.0,0,0,1,1,1,742
882172,AR,2020.0,0,0,1,1,1,679
882174,AL,2021.0,1,1,0,1,1,2118
882175,CO,2021.0,1,1,0,1,1,1180
882177,AR,2020.0,0,0,1,1,1,4421
882178,AL,2021.0,1,1,0,1,1,3999
882180,CO,2020.0,1,1,0,1,1,16710
882181,AR,2020.0,0,0,1,1,1,1210
882182,CA,2020.0,1,1,0,1,1,25629
882183,AL,2021.0,1,1,0,1,1,1442
882185,CO,2020.0,0,0,1,1,1,77
882187,AR,2020.0,0,0,1,1,1,767
882188,AL,2022.0,1,1,0,1,1,7029
882190,CO,2020.0,1,1,0,1,1,1946
882192,AR,2020.0,0,0,1,1,1,647
882193,AL,2021.0,1,1,0,1,1,2609
882195,CO,2022.0,0,0,1,1,1,270
882198,AR,2020.0,0,0,1,1,1,2586
882199,AL,2020.0,0,0,1,1,1,1235
882202,AR,2020.0,0,0,1,1,1,2503
882203,AL,2021.0,1,1,0,1,1,2122
882206,AR,2020.0,0,0,1,1,1,9816
882209,CO,2023.0,1,1,0,1,1,9932
882210,AR,2020.0,0,0,1,1,1,878
882211,CA,2022.0,0,0,1,1,1,697
882213,AL,2021.0,1,1,0,1,1,2251
882214,CO,2020.0,0,0,1,1,1,329
882216,AR,2020.0,0,0,1,1,1,813
882218,AZ,2022.0,1,1,0,1,1,6798
882219,CO,2022.0,0,0,1,1,1,416
882220,AR,2020.0,0,0,1,1,1,494
882224,CO,2020.0,0,0,0,0,1,111
882225,AR,2020.0,0,0,1,1,1,2594
882228,CO,2022.0,1,1,0,1,1,116
882229,AR,2020.0,0,0,1,1,1,14888
882230,AL,2021.0,1,1,0,1,1,1535
882233,CO,2020.0,1,1,0,1,1,308
882235,AR,2020.0,0,0,1,1,1,1143
882236,AL,2021.0,1,1,0,1,1,3399
882239,CO,2021.0,1,1,0,1,1,581
882241,AL,2021.0,1,1,0,1,1,2530
882242,AR,2020.0,0,0,0,0,1,1446
882245,CO,2020.0,0,0,1,1,1,187
882247,AL,2021.0,1,1,0,1,1,2522
882249,AR,2020.0,0,0,1,1,1,1407
882251,CO,2020.0,1,1,0,1,1,869
882253,AL,2020.0,1,1,0,1,1,3516
882254,AR,2020.0,0,0,1,1,1,1060
882257,CO,2020.0,1,1,0,1,1,77275
882258,AL,2021.0,1,1,0,1,1,1068
882259,AR,2020.0,0,0,1,1,1,959
882262,CO,2024.0,1,1,0,1,1,3426
882263,AL,2021.0,1,1,0,1,1,19034
882265,AR,2020.0,0,0,1,1,1,1911
882268,CO,2020.0,0,0,1,1,1,633
882269,AL,2021.0,1,1,0,1,1,9124
882271,AR,2020.0,0,0,1,1,1,1312
882274,CO,2020.0,1,1,0,1,1,46
882275,AL,2021.0,1,1,0,1,1,1569
882277,AR,2020.0,0,0,1,1,1,3560
882280,CO,2022.0,1,1,0,1,1,2352
882281,AL,2020.0,0,1,0,1,1,2274
882284,AR,2020.0,0,0,1,1,1,795
882285,CO,2021.0,1,1,0,1,1,1108
882287,AL,2021.0,1,1,0,1,1,1980
882289,AR,2020.0,0,0,1,1,1,3479
882290,CO,2020.0,0,0,1,1,1,54
882293,AL,2021.0,1,1,0,1,1,7613
882295,CO,2020.0,0,0,1,1,1,277
882296,AR,2020.0,0,0,1,1,1,774
882299,AL,2021.0,1,1,0,1,1,2928
882300,CO,2020.0,0,0,1,1,1,126
882304,AR,2020.0,0,0,1,1,1,392
882306,CO,2020.0,0,0,1,1,1,423
882307,AL,2021.0,0,0,1,1,1,1849
882310,AR,2020.0,0,0,1,1,1,851
882311,CO,2024.0,1,1,0,1,1,921
882312,AL,2021.0,1,1,0,1,1,1170
882315,AR,2020.0,0,0,1,1,1,572
882317,CO,2024.0,1,1,0,1,1,1355
882319,AL,2021.0,1,1,0,1,1,1271
882321,AR,2020.0,0,0,1,1,1,987
882324,AL,2021.0,1,1,0,1,1,1928
882325,CO,2022.0,0,0,1,1,1,220
882327,AR,2020.0,0,0,1,1,1,1266
882329,AL,2021.0,1,1,0,1,1,10416
882330,CO,2023.0,1,1,0,1,1,1033
882333,AR,2020.0,0,0,1,1,1,1211
882336,AL,2021.0,1,1,0,1,1,18430
882337,CO,2020.0,1,1,0,1,1,1446
882339,AR,2020.0,0,0,1,1,1,2635
882341,AL,2021.0,1,1,0,1,1,1517
882343,CO,2020.0,1,1,0,1,1,496
882347,CO,2020.0,0,0,1,1,1,479
882349,AL,2021.0,1,1,0,1,1,7150
882350,AR,2020.0,0,0,1,1,1,673
882353,CO,2020.0,1,1,0,1,1,14040
882355,AL,2021.0,1,1,0,1,1,7723
882357,AR,2020.0,0,0,1,1,1,1740
882360,AL,2021.0,1,1,0,1,1,2812
882361,AR,2020.0,0,0,1,1,1,597
882362,CO,2020.0,0,0,1,1,1,115
882366,AL,2021.0,1,1,0,1,1,1767
882367,AR,2020.0,0,0,1,1,1,1421
882370,AL,2021.0,1,1,0,1,1,1276
882371,AR,2020.0,0,0,1,1,1,459
882374,CO,2020.0,1,1,0,1,1,28513
882376,AL,2021.0,1,1,0,1,1,2486
882383,AR,2020.0,0,0,1,1,1,1583
882386,CO,2024.0,0,0,1,1,1,14089
882387,AL,2021.0,1,1,0,1,1,5447
882388,AR,2020.0,0,0,1,1,1,2196
882393,CO,2020.0,0,0,1,1,1,458
882394,AR,2020.0,0,0,1,1,1,863
882397,CO,2020.0,1,1,0,1,1,1488
882398,AR,2020.0,0,0,1,1,1,3789
882402,AR,2020.0,0,0,1,1,1,919
882405,CO,2021.0,0,0,1,1,1,129
882408,AR,2020.0,0,0,1,1,1,886
882409,CO,2020.0,1,1,0,1,1,5867
882414,CO,2020.0,1,1,0,1,1,272
882417,AR,2020.0,0,0,1,1,1,4538
882418,CO,2020.0,1,1,0,1,1,745
882422,AR,2020.0,0,0,1,1,1,2419
882423,CO,2020.0,0,0,1,1,1,306
882426,AR,2020.0,0,0,1,1,1,893
882427,CO,2020.0,1,1,0,1,1,300
882431,AR,2020.0,0,0,1,1,1,5964
882435,AR,2020.0,0,0,1,1,1,680
882438,AR,2020.0,0,0,1,1,1,1344
882441,AR,2020.0,0,0,1,1,1,348
882442,CA,2022.0,1,1,0,1,1,1835
882444,CO,2020.0,0,0,1,1,1,110
882445,AR,2020.0,0,0,1,1,1,4372
882446,CA,2020.0,1,1,0,1,1,4520
882448,CO,2021.0,1,1,0,1,1,2175
882449,AR,2020.0,0,0,1,1,1,1086
882453,CO,2021.0,1,1,0,1,1,1066
882455,AR,2020.0,0,0,1,1,1,3558
882458,CO,2020.0,0,1,0,1,1,5533
882459,AR,2020.0,0,0,0,0,1,1374
882461,CO,2020.0,1,1,0,1,1,5556
882463,AR,2020.0,0,0,1,1,1,869
882465,CO,2020.0,0,0,1,1,1,299
882466,AR,2020.0,0,0,1,1,1,1245
882468,CO,2020.0,0,0,1,1,1,243
882469,AR,2021.0,0,0,1,1,1,23852
882471,CA,2021.0,0,0,1,1,1,13837
882473,CO,2020.0,0,0,1,1,1,327
882474,AR,2020.0,0,0,1,1,1,1812
882475,CA,2020.0,1,1,0,1,1,2636
882477,CO,2020.0,0,0,1,1,1,242
882479,AR,2020.0,0,0,1,1,1,605
882482,CO,2022.0,0,0,1,1,1,189
882483,AR,2020.0,0,0,1,1,1,728
882484,CA,2020.0,1,1,0,1,1,2192
882487,AR,2020.0,0,0,1,1,1,2059
882489,CA,2022.0,0,0,1,1,1,1156
882490,CA,2022.0,0,0,1,1,1,5333
882491,AR,2020.0,0,0,1,1,1,487
882494,AR,2020.0,0,0,1,1,1,781
882496,CA,2022.0,1,1,0,1,1,20391
882497,CO,2020.0,0,0,1,1,1,119
882499,AR,2020.0,0,0,1,1,1,936
882500,CA,2020.0,1,1,0,1,1,5511
882501,CO,2020.0,1,1,0,1,1,160
882503,AR,2020.0,0,0,1,1,1,3898
882504,CO,2020.0,1,1,0,1,1,580
882506,AR,2020.0,0,0,1,1,1,579
882507,CO,2020.0,0,0,1,1,1,45
882509,AR,2020.0,0,0,1,1,1,888
882512,AR,2020.0,0,0,1,1,1,390
882514,CA,2022.0,0,0,1,1,1,7064
882515,CO,2020.0,1,1,0,1,1,15802
882516,AR,2020.0,0,0,1,1,1,1121
882518,CA,2020.0,1,1,0,1,1,9969
882519,CO,2022.0,0,0,1,1,1,9335
882521,AR,2020.0,0,0,1,1,1,479
882522,CO,2020.0,1,1,0,1,1,536
882523,CA,2020.0,1,1,0,1,1,3692
882525,AR,2020.0,0,0,1,1,1,634
882526,AK,2020.0,0,0,0,0,1,4267
882528,CO,2020.0,0,0,1,1,1,334
882529,AR,2020.0,0,0,1,1,1,1240
882531,CO,2021.0,1,1,0,1,1,4898
882532,CA,2020.0,0,0,1,1,1,130
882534,AR,2020.0,0,0,1,1,1,872
882535,CO,2022.0,0,0,1,1,1,837
882537,CA,2020.0,1,1,0,1,1,9000
882538,AK,2021.0,1,1,0,1,1,2013
882540,AR,2020.0,0,0,1,1,1,1737
882541,CO,2020.0,0,0,1,1,1,132
882543,AK,2022.0,1,1,0,1,1,464
882544,AR,2020.0,0,0,1,1,1,405
882545,CO,2021.0,1,1,0,1,1,1168
882547,CA,2020.0,1,1,0,1,1,78
882548,AR,2020.0,0,0,1,1,1,2020
882550,CO,2020.0,0,0,0,0,1,215
882551,CA,2022.0,1,1,0,1,1,339
882553,AR,2020.0,0,0,1,1,1,471
882554,CO,2020.0,0,0,1,1,1,393
882555,CA,2020.0,0,0,0,0,1,80
882557,CO,2020.0,0,0,1,1,1,297
882558,AR,2020.0,0,0,1,1,1,514
882560,CA,2021.0,1,1,0,1,1,1745
882562,CO,2020.0,1,1,0,1,1,376
882563,AR,2020.0,0,0,1,1,1,549
882564,CA,2021.0,1,1,0,1,1,5985
882566,AK,2022.0,1,1,0,1,1,355
882567,CO,2022.0,1,1,0,1,1,9181
882569,AR,2020.0,0,0,1,1,1,1731
882570,CO,2020.0,0,0,1,1,1,104
882573,AR,2020.0,0,0,1,1,1,678
882575,CO,2020.0,0,0,1,1,1,1516
882576,AK,2020.0,1,1,0,1,1,239
882578,AR,2020.0,0,0,1,1,1,384
882580,CO,2021.0,0,0,1,1,1,80
882581,AK,2020.0,1,1,0,1,1,25
882583,CA,2020.0,0,0,1,1,1,555
882584,AR,2020.0,0,0,1,1,1,715
882585,CO,2022.0,1,1,0,1,1,306
882587,AK,2024.0,1,1,0,1,1,1970
882588,AR,2020.0,0,0,1,1,1,1932
882589,CA,2020.0,0,0,1,1,1,104
882591,CO,2021.0,1,1,0,1,1,322
882593,AR,2020.0,0,0,1,1,1,470
882594,CA,2020.0,0,0,1,1,1,10494
882595,AK,2020.0,1,1,0,1,1,123
882596,CO,2020.0,1,1,0,1,1,2427
882598,CA,2020.0,0,0,1,1,1,381
882599,AK,2021.0,1,1,0,1,1,319
882600,CO,2020.0,1,1,0,1,1,2120
882601,AR,2020.0,0,0,1,1,1,3420
882603,CO,2020.0,1,1,0,1,1,195
882604,AK,2020.0,1,1,0,1,1,327
882605,AR,2020.0,0,0,1,1,1,451
882607,CO,2020.0,0,0,1,1,1,972
882608,AK,2020.0,1,1,0,1,1,372
882611,CO,2020.0,0,0,1,1,1,213
882613,AK,2020.0,1,1,0,1,1,284
882614,AR,2020.0,0,0,1,1,1,8785
882616,CO,2020.0,1,1,0,1,1,3557
