,district_id,state_code,rec_cost,purpose,state_network
26522,962217,SC,1275.32000000000000000000,wan,True
26523,962218,SC,4852.58823529411764686472,internet,True
26524,962218,SC,5771.0800000000000003462648,wan,True
26525,962218,SC,20273.7599999999999995305024,wan,True
26526,962218,SC,6772.4800000000000000846560,wan,True
26527,962218,SC,2202.8200000000000004405640,wan,True
26528,962218,SC,617.7600000000000000308880,wan,True
26529,962218,SC,6990.6399999999999999300936,wan,True
26530,962218,SC,1086.380000000000000054319,wan,True
26531,962219,SC,2915.50000000000000023324,internet,True
26532,962219,SC,617.7600000000000000308880,wan,True
26533,962219,SC,1275.32000000000000000000,wan,True
26534,962222,SC,4852.58823529411764686472,internet,True
26535,962222,SC,6111.1799999999999998675911,wan,True
26536,962222,SC,808.0800000000000000000000,wan,True
26537,962223,SC,4852.58823529411764686472,internet,True
26538,962223,SC,3056.6799999999999999694332,wan,True
26539,962223,SC,3282.240000000000000000000,wan,True
26540,962223,SC,865.2800000000000000000000,wan,True
26541,962224,SC,3194.00000000000000000000,internet,True
26542,962224,SC,3740.300000000000000000000,wan,True
26543,962224,SC,846.5599999999999996952384,wan,True
26544,962224,SC,2202.8200000000000004405640,wan,True
26545,962224,SC,3495.3199999999999999650468,wan,True
26546,962225,SC,3194.00000000000000000000,internet,True
26547,962225,SC,2134.0799999999999996798880,wan,True
26548,962225,SC,3386.2400000000000000423280,wan,True
26549,962226,SC,4852.58823529411764686472,internet,True
26550,962226,SC,4328.3100000000000002596986,wan,True
26551,962226,SC,11737.4400000000000008109504,wan,True
26552,962226,SC,3386.2400000000000000423280,wan,True
26553,962227,SC,3194.00000000000000000000,internet,True
26554,962228,SC,2915.50000000000000023324,internet,True
26555,962228,SC,846.5599999999999996952384,wan,True
26556,962228,SC,1235.5200000000000000617760,wan,True
26557,962230,SC,2915.50000000000000023324,internet,True
26558,962231,SC,2915.50000000000000023324,internet,True
26559,962232,SC,2688.00000000000000000000,internet,True
26560,962232,SC,1442.7700000000000000865662,wan,True
26561,962232,SC,1067.0399999999999998399440,wan,True
26562,962232,SC,1693.1199999999999993904768,wan,True
26563,962234,SC,5972.00000000000000000000,internet,True
26564,962234,SC,4500.00000000000000000000,wan,True
26565,962234,SC,6000.00000000000000000000,wan,True
26566,962234,SC,40500.00000000000000000000,wan,True
26567,962235,SC,8056.00000000000000000000,internet,True
26568,962235,SC,2754.399999999999999972456,wan,True
26569,962235,SC,11203.8300000000000001018530,wan,True
26570,962235,SC,3740.300000000000000000000,wan,True
26571,962235,SC,6208.6599999999999998758268,wan,True
26572,962235,SC,3232.3200000000000000000000,wan,True
26573,962235,SC,11014.0999999999999991629284,wan,True
26574,962235,SC,6990.6399999999999999300936,wan,True
26575,962235,SC,3825.96000000000000000000,wan,True
26576,962235,SC,1086.380000000000000054319,wan,True
26577,962236,SC,3194.00000000000000000000,internet,True
26578,962236,SC,1138.8600000000000000000000,wan,True
26579,962236,SC,2202.8200000000000004405640,wan,True
26580,962237,SC,7361.00000000000000000000,internet,True
26581,962237,SC,1957.7299999999999999804227,wan,True
26582,962237,SC,8656.6199999999999996248798,wan,True
26583,962237,SC,33078.2400000000000001813968,wan,True
26584,962237,SC,20317.4400000000000002539680,wan,True
26585,962237,SC,6990.6399999999999999300936,wan,True
26586,962237,SC,1052.4799999999999999789504,wan,True
26587,962239,SC,3889.00000000000000000000,internet,True
26588,962239,SC,1442.7700000000000000865662,wan,True
26589,962239,SC,4268.1599999999999993597760,wan,True
26590,962239,SC,7619.0399999999999997798944,wan,True
26591,962239,SC,617.7600000000000000308880,wan,True
26592,962240,SC,3194.00000000000000000000,internet,True
26593,962240,SC,3740.300000000000000000000,wan,True
26594,962240,SC,2202.8200000000000004405640,wan,True
26595,962240,SC,8738.2999999999999999126170,wan,True
26596,962242,SC,4852.58823529411764686472,internet,True
26597,962242,SC,2134.0799999999999996798880,wan,True
26598,962242,SC,1693.1199999999999993904768,wan,True
26599,962242,SC,8811.2799999999999987223644,wan,True
26600,962242,SC,12233.6199999999999998776638,wan,True
26601,962242,SC,1275.32000000000000000000,wan,True
26602,962244,SC,2915.50000000000000023324,internet,True
26603,962245,SC,3194.00000000000000000000,internet,True
26604,962245,SC,505.00000000000000000000,internet,True
26605,962247,SC,2915.50000000000000023324,internet,True
26606,962247,SC,2202.8200000000000004405640,wan,True
26607,962248,SC,3889.00000000000000000000,internet,True
26608,962248,SC,3740.300000000000000000000,wan,True
26609,962248,SC,3104.3300000000000003725196,wan,True
26610,962248,SC,6608.4600000000000013216920,wan,True
26611,962248,SC,5242.9799999999999999475702,wan,True
26612,962249,SC,4852.58823529411764686472,internet,True
26613,962249,SC,17589.00000000000000000000,wan,True
26614,962249,SC,25584.00000000000000000000,wan,True
26615,962251,SC,2915.50000000000000023324,internet,True
26616,962251,SC,6113.3599999999999999388664,wan,True
26617,962251,SC,3282.240000000000000000000,wan,True
26618,962252,SC,2915.50000000000000023324,internet,True
26619,962255,SC,4852.58823529411764686472,internet,True
26620,962255,SC,1957.7299999999999999804227,wan,True
26621,962255,SC,3223.2399999999999999677676,wan,True
26622,962255,SC,2885.5400000000000001731324,wan,True
26623,962255,SC,1018.5299999999999999287029,wan,True
26624,962255,SC,13871.5200000000000004908384,wan,True
26625,962255,SC,617.7600000000000000308880,wan,True
26626,962257,SC,2915.50000000000000023324,internet,True
26627,962257,SC,1067.0399999999999998399440,wan,True
26628,962257,SC,2539.6800000000000003470896,wan,True
26629,962257,SC,617.7600000000000000308880,wan,True
26630,962258,SC,3194.00000000000000000000,internet,True
26631,962258,SC,2202.8200000000000004405640,wan,True
