funding_year,state_code,district_id,num_students,old_total_bw,old_total_cost,old_bw_per_student,projected_bw_fy2018,deal,total_circuits,new_total_bw,new_total_cost,total_li,bw_rank,best_deal,new_bw_per_student,total_bw_change,total_bw_percent_change
2019,IA,894202,2127,350.0,1382.11,164.55101081335215,2127.0,Deal 3,2.0,1100.0,1353.0,2.0,1.0,True,517.1603196991067,750.0,2.142857142857143
2019,IA,894214,1252,400.0,2114.0,319.4888178913738,1252.0,Deal 2,2.0,1200.0,2040.0,2.0,1.0,True,958.4664536741215,800.0,2.0
2019,IA,894241,3071,700.0,2805.0,227.93878215564962,2610.35,Deal 1,1.0,2000.0,2600.0,1.0,1.0,True,651.253663301856,1300.0,1.8571428571428572
2019,IA,894249,2220,500.0,2165.61,225.22522522522522,2220.0,Deal 2,2.0,1200.0,2138.0,2.0,1.0,True,540.5405405405405,700.0,1.4
2019,IA,894266,518,300.0,1057.5,579.1505791505791,518.0,Deal 3,1.0,500.0,990.0,1.0,1.0,True,965.2509652509652,200.0,0.6666666666666666
2019,IA,894272,838,500.0,900.0,596.6587112171837,838.0,Deal 1,1.0,750.0,800.0,1.0,1.0,True,894.9880668257756,250.0,0.5
2019,IA,894278,421,200.0,900.0,475.05938242280286,421.0,Deal 2,1.0,300.0,900.0,1.0,1.0,True,712.5890736342043,100.0,0.5
2019,IA,894301,1684,500.0,1195.0,296.91211401425176,1684.0,Deal 2,1.0,1000.0,1000.0,1.0,1.0,True,593.8242280285035,500.0,1.0
2019,IA,894316,695,200.0,1137.0,287.76978417266184,695.0,Deal 3,1.0,500.0,990.0,1.0,1.0,True,719.4244604316547,300.0,1.5
2019,IA,894323,570,200.0,1252.0,350.87719298245617,570.0,Deal 3,1.0,500.0,990.0,1.0,1.0,True,877.1929824561404,300.0,1.5
2019,IA,894328,7081,1000.0,1895.0,141.22299110295157,6018.85,Deal 2,1.0,2000.0,1615.0,1.0,1.0,True,282.44598220590314,1000.0,1.0
2019,IA,894343,7437,1000.0,2500.0,134.4628210299852,6321.45,Deal 1,2.0,4000.0,2000.0,1.0,1.0,True,537.8512841199408,3000.0,3.0
2019,IA,894345,689,300.0,1396.8,435.41364296081275,689.0,Deal 2,2.0,600.0,1343.0,2.0,1.0,True,870.8272859216255,300.0,1.0
2019,IA,894380,5036,1000.0,6118.452808203216,198.57029388403495,4280.6,Deal 3,5.0,4100.0,6113.0,2.0,1.0,True,814.1382049245433,3100.0,3.1
2019,IA,894381,614,150.0,825.0,244.29967426710098,614.0,Deal 1,1.0,500.0,500.0,1.0,1.0,True,814.3322475570033,350.0,2.3333333333333335
2019,IA,894383,1076,200.0,1526.0,185.87360594795538,1076.0,Deal 2,1.0,1000.0,1440.0,1.0,1.0,True,929.368029739777,800.0,4.0
2019,IA,894398,872,350.0,1233.75,401.3761467889908,872.0,Deal 3,1.0,500.0,990.0,1.0,1.0,True,573.394495412844,150.0,0.42857142857142855
2019,IA,894401,2804,600.0,2613.0,213.98002853067047,2804.0,Deal 2,2.0,1500.0,2430.0,2.0,1.0,True,534.9500713266762,900.0,1.5
2019,IA,894402,985,300.0,1057.5,304.56852791878174,985.0,Deal 4,1.0,800.0,995.0,1.0,1.0,True,812.1827411167512,500.0,1.6666666666666667
2019,IA,894417,4693,1000.0,3255.6322535539502,213.08331557639036,3989.05,Deal 3,3.0,2100.0,3233.0,2.0,1.0,True,447.4749627104198,1100.0,1.1
2019,IA,894452,7086,3100.0,2871.0,437.4823595822749,6023.1,Deal 4,1.0,5000.0,2828.0,1.0,1.0,True,705.6167090036693,1900.0,0.6129032258064516
2019,IA,894475,3989,500.0,2100.0,125.34469791927802,3390.65,Deal 1,2.0,1150.0,1966.0,2.0,1.0,True,288.2928052143394,650.0,1.3
2019,IA,894491,2123,1000.0,749.95,471.03155911446066,1804.55,Deal 3,3.0,1500.0,750.0,1.0,1.0,True,706.547338671691,500.0,0.5
2019,IA,894507,3461,600.0,2886.0,173.36030049118753,2941.85,Deal 2,1.0,2000.0,2600.0,1.0,1.0,True,577.8676683039583,1400.0,2.3333333333333335
2019,IA,894510,1163,500.0,1742.08,429.9226139294927,1163.0,Deal 2,1.0,1000.0,1440.0,1.0,1.0,True,859.8452278589854,500.0,1.0
2019,IA,894515,501,100.0,968.5,199.6007984031936,501.0,Deal 3,1.0,300.0,900.0,1.0,1.0,True,598.8023952095808,200.0,2.0
2019,IA,894528,1112,200.0,1250.0,179.85611510791367,1112.0,Deal 3,1.0,500.0,1250.0,1.0,1.0,True,449.64028776978415,300.0,1.5
2019,ID,895347,3622,1000.0,2590.0,276.09055770292656,3078.7,Deal 1,1.0,2000.0,2390.0,1.0,1.0,True,552.1811154058531,1000.0,1.0
2019,ID,895406,6360,750.0,1300.0,117.9245283018868,5406.0,Deal 1,1.0,1000.0,1300.0,1.0,1.0,True,157.23270440251574,250.0,0.3333333333333333
2019,ID,895422,2492,500.0,2000.0,200.64205457463885,2492.0,Deal 1,1.0,1000.0,1995.0,1.0,1.0,True,401.2841091492777,500.0,1.0
2019,ID,895439,1178,800.0,2450.01,679.1171477079796,1178.0,Deal 1,2.0,1100.0,2400.0,2.0,1.0,True,933.786078098472,300.0,0.375
2019,ID,895448,1908,300.0,4075.0,157.23270440251574,1908.0,Deal 1,1.0,500.0,3750.0,1.0,1.0,True,262.0545073375262,200.0,0.6666666666666666
2019,ID,895456,5360,2000.0,2400.0,373.13432835820896,4556.0,Deal 2,4.0,2600.0,2256.0,2.0,1.0,True,485.07462686567163,600.0,0.3
2019,ID,895458,831,200.0,2500.0,240.67388688327316,831.0,Deal 1,2.0,600.0,2451.0,2.0,1.0,True,722.0216606498195,400.0,2.0
2019,ID,895461,808,350.0,1985.0,433.16831683168317,808.0,Deal 1,1.0,400.0,1500.0,1.0,1.0,True,495.0495049504951,50.0,0.14285714285714285
2019,ID,895467,3867,1000.0,2150.0,258.5983966899405,3286.95,Deal 1,1.0,1500.0,2100.0,1.0,1.0,True,387.8975950349108,500.0,0.5
2019,ID,895478,1521,500.0,2000.0,328.7310979618672,1521.0,Deal 1,1.0,1000.0,1990.0,1.0,1.0,True,657.4621959237344,500.0,1.0
