,line_item_id,state_code,size,funding_year,li_monthly_cost,bandwidth_received,rec_cost_per_meg,service_provider_id,state_network,parent_name,cost_tier,num_lines
207,50118,WI,Small,2015,625.00,96,6.5104166666666667,39948,True,WiscNet,Low,1
208,50123,WI,Tiny,2015,750.00,100,7.5000000000000000,39948,True,WiscNet,Low,1
209,50200,WI,Small,2015,750.00,300,2.5000000000000000,39948,True,WiscNet,Low,1
210,50201,WI,Small,2015,583.34,93,6.2724731182795699,39948,True,WiscNet,Low,1
211,50444,CA,Small,2015,333.33,1000,0.33333000000000000000,37068,False,Tehama County DOE,Low,1
212,50513,CA,Tiny,2015,333.33,3,111.1100000000000000,37068,False,Tehama County DOE,Low,1
213,50546,CA,Tiny,2015,149.00,12,12.4166666666666667,43143,False,SmarterBroadband,Low,1
214,50565,CA,Mega,2015,708.33,1000,0.70833000000000000000,43894,False,Contra Costa County Office of Ed.,Low,1
215,52470,MN,Large,2015,5175.00,500,10.3500000000000000,38854,False,Carver County Broadband Network,High,1
216,52785,CA,Small,2015,1375.00,1000,1.3750000000000000,43335,False,Monterey County Office of Education,Low,1
217,52976,CA,Small,2015,833.33,1000,0.83333000000000000000,43951,False,Stanislaus County Office of Education,Low,1
218,53031,CA,Small,2015,833.33,100,8.3333000000000000,40628,False,Lassen County Office of Education,Low,1
219,53071,CA,Tiny,2015,249.41,1000,0.24941000000000000000,39247,False,Tuolumne County Superintendent of Schools,Low,1
220,53102,CA,Small,2015,666.66,100,6.6666000000000000,43908,False,Calaveras County Office of Education,Low,1
221,53566,FL,Large,2015,2620.00,300,8.7333333333333333,42496,False,AT&T,High,1
222,53566,FL,Medium,2015,2620.00,300,8.7333333333333333,42496,False,AT&T,High,1
223,54088,IL,Small,2015,450.00,50,9.0000000000000000,41676,False,Illinois Century Network,High,1
224,54864,MI,Small,2015,2351.25,1000,2.3512500000000000,42991,False,Comcast,Low,1
225,54929,MI,Small,2015,991.10,1000,0.99110000000000000000,42496,False,AT&T,Low,1
226,54930,MI,Small,2015,183.06,1000,0.18306000000000000000,42496,False,AT&T,Low,1
227,54931,MI,Small,2015,1829.36,1000,1.8293600000000000,42496,False,AT&T,Low,1
228,54932,MI,Small,2015,1989.75,1000,1.9897500000000000,42496,False,AT&T,Low,1
229,56984,OH,Small,2015,429.00,100,4.2900000000000000,42984,False,Metropolitan Dayton Educational Cooperative Association,Mid,1
230,58465,RI,Small,2015,3000.00,1000,3.0000000000000000,37740,True,Oshean,Mid,1
231,59278,TX,Small,2015,789.60,10,78.9600000000000000,40345,False,Region 9 Education Service Center,Low,1
232,59446,TX,Small,2015,4050.00,50,81.0000000000000000,38141,False,Education Service Center Region 17,Low,1
233,59642,WA,Large,2015,54.62,6,9.1033333333333333,44069,True,WAVEDIVISION HOLDINGS,Low,1
234,59642,WA,Medium,2015,54.62,6,9.1033333333333333,44069,True,WAVEDIVISION HOLDINGS,Low,1
235,59642,WA,Small,2015,54.62,6,9.1033333333333333,44069,True,WAVEDIVISION HOLDINGS,Low,1
236,59642,WA,Tiny,2015,54.62,6,9.1033333333333333,44069,True,WAVEDIVISION HOLDINGS,Low,1
237,59724,WA,Large,2015,9166.00,100000,0.09166000000000000000,36968,True,University of Washington,Low,1
238,59724,WA,Medium,2015,9166.00,100000,0.09166000000000000000,36968,True,University of Washington,Low,1
239,59724,WA,Mega,2015,9166.00,100000,0.09166000000000000000,36968,True,University of Washington,Low,1
240,59724,WA,Small,2015,9166.00,100000,0.09166000000000000000,36968,True,University of Washington,Low,1
241,59724,WA,Tiny,2015,9166.00,100000,0.09166000000000000000,36968,True,University of Washington,Low,1
242,59752,WI,Small,2015,1140.42,1000,1.1404200000000000,39948,True,WiscNet,Low,1
243,59760,WI,Small,2015,940.42,97,9.6950515463917526,39948,True,WiscNet,Low,1
244,59775,WI,Tiny,2015,583.34,100,5.8334000000000000,39948,True,WiscNet,Low,1
245,59809,WI,Tiny,2015,541.67,100,5.4167000000000000,39948,True,WiscNet,Low,1
246,59825,WI,Small,2015,625.00,45,13.8888888888888889,39948,True,WiscNet,Low,1
247,59832,WI,Tiny,2015,541.67,100,5.4167000000000000,39948,True,WiscNet,Low,1
248,59838,WI,Medium,2015,1300.00,1000,1.3000000000000000,39948,True,WiscNet,Low,1
249,59843,WI,Tiny,2015,541.67,100,5.4167000000000000,39948,True,WiscNet,Low,1
250,59916,WI,Small,2015,583.34,100,5.8334000000000000,39948,True,WiscNet,Low,1
251,60461,CA,Small,2015,833.33,100,8.3333000000000000,43951,False,Stanislaus County Office of Education,Low,1
252,60464,CA,Tiny,2015,833.33,10,83.3330000000000000,43951,False,Stanislaus County Office of Education,Low,1
253,60467,CA,Small,2015,2385.00,100,23.8500000000000000,42615,False,Fresno County Superintendent of Schools,Low,1
254,60508,CA,Small,2015,745.83,100,7.4583000000000000,37068,False,Tehama County DOE,Low,1
255,62551,MI,Small,2015,8107.50,1000,8.1075000000000000,40942,False,Merit Network,Low,1
256,62551,MI,Tiny,2015,8107.50,1000,8.1075000000000000,40942,False,Merit Network,Low,1
257,63817,PA,Medium,2015,4750.27,1000,4.7502700000000000,40338,False,Level 3 Communications,Low,1
258,63817,PA,Small,2015,4750.27,1000,4.7502700000000000,40338,False,Level 3 Communications,Low,1
259,63985,RI,Large,2015,3000.00,1000,3.0000000000000000,37740,True,Oshean,Mid,1
260,64416,TX,Small,2015,3582.67,100,35.8267000000000000,41937,False,Region 18 Education Service Center,Low,1
261,64797,WI,Small,2015,500.00,91,5.4945054945054945,39948,True,WiscNet,Low,1
262,64811,WI,Small,2015,625.00,291,2.1477663230240550,39948,True,WiscNet,Low,1
263,64814,WI,Small,2015,625.00,91,6.8681318681318681,39948,True,WiscNet,Low,1
264,64816,WI,Small,2015,583.34,91,6.4103296703296703,39948,True,WiscNet,Low,1
265,64819,WI,Small,2015,708.34,91,7.7839560439560440,39948,True,WiscNet,Low,1
266,64821,WI,Small,2015,875.00,91,9.6153846153846154,39948,True,WiscNet,Low,1
267,64825,WI,Small,2015,625.00,91,6.8681318681318681,39948,True,WiscNet,Low,1
268,64826,WI,Small,2015,625.00,91,6.8681318681318681,39948,True,WiscNet,Low,1
269,64830,WI,Small,2015,666.67,96,6.9444791666666667,39948,True,WiscNet,Low,1
270,64834,WI,Small,2015,583.34,91,6.4103296703296703,39948,True,WiscNet,Low,1
271,64847,WI,Small,2015,700.00,100,7.0000000000000000,39948,True,WiscNet,Low,1
272,64854,WI,Small,2015,700.00,100,7.0000000000000000,39948,True,WiscNet,Low,1
273,64858,WI,Small,2015,625.00,63,9.9206349206349206,39948,True,WiscNet,Low,1
