district_id,funding_year,name,state_code,num_students,ia_bw_mbps_total,ia_monthly_cost_total,upstream_monthly_cost_total,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,total_projected_cost
882031,2019,Lamar County School District,AL,2366.0,1000,3985.09,0,0.0,2500.0,0.0,0.0,2500.0
882032,2019,Westside Consolidated School District,AR,1797.0,3000,3332.296095179849,1125.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882036,2019,Lanett City School District,AL,886.0,1000,4029.4,0,890.0,0.0,0.0,0.0,890.0
882038,2019,Cave City Public School District,AR,1293.0,2000,3250.221397366469,1662.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882041,2019,Lauderdale County School District,AL,8409.0,2000,7076.95,0,0.0,2500.0,0.0,0.0,2500.0
882042,2019,Cedarville Public School District,AR,813.0,2000,3389.0264470680117,2390.400000000000000000000,890.0,0.0,0.0,0.0,890.0
882046,2019,Genoa Central School District,AR,1147.0,2000,4642.886266650688,3234.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882050,2019,Lawrence County School District,AL,4834.0,3000,8771.18,0,0.0,2500.0,0.0,0.0,2500.0
882053,2019,White Co Central School District,AR,764.0,1000,2018.4386292250445,1080.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882057,2019,Lee County School District,AL,9653.0,2500,10459.86,0,0.0,2500.0,0.0,0.0,2500.0
882058,2019,Charleston School District,AR,944.0,2000,3079.5367355869657,1920.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882062,2019,Limestone County School District,AL,9209.0,1500,6421.98,0,0.0,2500.0,0.0,0.0,2500.0
882063,2019,Clarendon Public School District,AR,517.0,3000,3126.0428943839634,2491.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882068,2019,Linden City School District,AL,494.0,1000,3220.43,0,890.0,0.0,0.0,0.0,890.0
882069,2019,Rector Public Schools,AR,634.0,1000,1273.7566635192122,495.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882073,2019,Lowndes County School District,AL,1508.0,1000,4408.0,0,0.0,2500.0,0.0,0.0,2500.0
882074,2019,Clarksville Public School District,AR,2610.0,4100,6865.922542247861,2340.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
