district_id,funding_year,name,state_code,fit_for_ia,fit_for_ia_cost,num_students,num_schools,ia_bw_mbps_total,ia_monthly_cost_total,ia_monthly_cost_total_extrap,meeting_2018_goal_oversub,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,projected_isp_3,projected_isp_49,projected_isp_74,total_projected_cost3,total_projected_cost49,total_projected_cost74
936030,2019,Battle Creek Public Schools,NE,True,True,431.0,2.0,200,1792.8119392110655,1792.8119392110655,False,1100.0,0.0,0.0,0.0,21.981,35.902300000000004,54.219800000000006,1121.981,1135.9023,1154.2198
935943,2019,Bayard Public School District,NE,True,True,425.0,2.0,500,697.077898293974,697.077898293974,True,1100.0,0.0,0.0,0.0,21.675,35.402499999999996,53.464999999999996,1121.675,1135.4025,1153.465
936031,2019,Beatrice Public School District,NE,True,True,1864.0,5.0,1000,1457.7087115763945,1457.7087115763945,False,0.0,2200.0,0.0,0.0,95.064,155.2712,234.4912,2295.064,2355.2712,2434.4912
936032,2019,Bellevue Public School District,NE,True,True,9911.0,20.0,3000,3631.5965882154755,3631.5965882154755,False,0.0,2200.0,0.0,0.0,505.461,825.5863,1246.8038000000001,2705.4610000000002,3025.5863,3446.8038
936033,2019,Bennington Public Schools,NE,True,True,3327.0,6.0,1000,1514.7756885271806,1514.7756885271806,False,0.0,2200.0,0.0,0.0,169.677,277.1391,418.5366,2369.677,2477.1391,2618.5366
936034,2019,Bertrand Public School District,NE,True,True,274.0,2.0,300,510.6878685471739,510.6878685471739,True,1100.0,0.0,0.0,0.0,13.974000000000002,22.8242,34.4692,1113.974,1122.8242,1134.4692
936035,2019,Blair Public Schools,NE,True,True,2326.0,6.0,2000,2170.9098621924322,2170.9098621924322,True,0.0,2200.0,0.0,0.0,118.626,193.7558,292.6108,2318.626,2393.7558,2492.6108
936036,2019,Bloomfield Public School District,NE,True,True,257.0,2.0,200,2360.024752615415,2360.024752615415,False,1100.0,0.0,0.0,0.0,13.107000000000001,21.4081,32.330600000000004,1113.107,1121.4081,1132.3306
936015,2019,Boone Central Schools,NE,True,True,538.0,3.0,200,769.4256688991954,769.4256688991954,False,1100.0,0.0,0.0,0.0,27.438000000000002,44.815400000000004,67.6804,1127.438,1144.8154,1167.6804
936007,2019,Boyd County Public Schools,NE,True,True,284.0,3.0,150,4668.644764047866,4668.644764047866,False,1100.0,0.0,0.0,0.0,14.484,23.6572,35.7272,1114.484,1123.6572,1135.7272
936038,2019,Brady Public School District,NE,True,True,174.0,2.0,200,1650.1871865956505,1650.1871865956505,True,1100.0,0.0,0.0,0.0,8.874,14.494200000000001,21.889200000000002,1108.874,1114.4942,1121.8892
935953,2019,Bridgeport Public School District,NE,True,True,467.0,2.0,700,1012.6961847136139,1012.6961847136139,True,1100.0,0.0,0.0,0.0,23.817,38.9011,58.7486,1123.817,1138.9011,1158.7486
935905,2019,Broken Bow Public School District,NE,True,True,765.0,3.0,300,766.9802169291534,766.9802169291534,False,1100.0,0.0,0.0,0.0,39.015,63.724500000000006,96.23700000000001,1139.015,1163.7245,1196.237
935969,2019,Bruning - Davenport Unified School District,NE,True,True,185.0,4.0,2000,2140.866261610318,2140.866261610318,True,1100.0,0.0,0.0,0.0,9.435,15.4105,23.273000000000003,1109.435,1115.4105,1123.273
936039,2019,Burwell Public Schools Distrist 100,NE,True,True,350.0,2.0,100,1405.9923868303315,1405.9923868303315,False,1100.0,0.0,0.0,0.0,17.85,29.155000000000005,44.03000000000001,1117.85,1129.155,1144.03
935906,2019,Callaway Public School District,NE,True,True,228.0,2.0,200,1453.3035548494731,1453.3035548494731,False,1100.0,0.0,0.0,0.0,11.628000000000002,18.992400000000004,28.682400000000005,1111.628,1118.9924,1128.6824
