,district_id,state_code,name,num_students,locale,size,meeting_2018_goal_oversub,fy18_ia_bw_mbps_total,fy17_ia_bw_mbps_total,fy18_ia_bandwidth_per_student_kbps,fy17_ia_bandwidth_per_student_kbps,fy18_hierarchy_ia_connect_category,fy17_hierarchy_ia_connect_category
1015,895400,ID,Bliss School District 234,129,Rural,Tiny,True,150,150,1163,1119,Fixed Wireless,Fixed Wireless
1016,895405,ID,Butte County School District 111,438,Rural,Small,True,1000,100,2283,230,Fiber,Fiber
1017,895407,ID,Camas County School District 121,124,Rural,Small,True,200,100,1613,787,Fixed Wireless,Fixed Wireless
1018,895410,ID,Cascade School District 422,218,Rural,Small,True,400,100,1835,379,Fiber,Fiber
1019,895411,ID,Cassia Joint School District 151,5408,Town,Medium,True,5000,5000,925,943,Fiber,Fiber
1020,895414,ID,Clark County School District 161,126,Rural,Small,True,300,300,2381,2521,Fiber,Fiber
1021,895415,ID,Coeur D'Alene School District 271,10631,Urban,Large,True,10000,10000,941,958,Fiber,Fiber
1022,895416,ID,Cottonwood School District,395,Rural,Small,True,400,400,1013,976,Fiber,Fiber
1023,895417,ID,Plummer-Worley Jt School District 44,337,Rural,Small,True,1000,100,2967,292,Fiber,Fiber
1024,895425,ID,Firth School District 59,785,Rural,Small,True,1000,1000,1274,1287,Fiber,Fiber
1025,895435,ID,Hagerman Joint School District 233,336,Rural,Tiny,True,400,400,1190,1183,Fiber,Fiber
1026,895441,ID,Horseshoe Bend School District 73,217,Rural,Small,True,300,300,1382,1840,Fiber,Fiber
1027,895445,ID,Kamiah Joint School District Number 306,457,Rural,Small,True,500,500,1094,1092,Fiber,Fiber
1028,895455,ID,Mackay Joint School District 182,204,Rural,Small,True,500,100,2451,610,Fiber,Fiber
1029,895465,ID,Minidoka Co Joint School District 331,4136,Town,Medium,True,10000,1000,2418,243,Fiber,Fiber
1030,895468,ID,Mullan School District 392,99,Rural,Small,True,100,100,1010,971,Fiber,Fiber
1031,895469,ID,Murtaugh Joint School District 418,321,Rural,Tiny,True,500,500,1558,1805,Fixed Wireless,Fixed Wireless
1032,895471,ID,New Plymouth School District 372,985,Rural,Small,True,1000,300,1015,281,Fiber,Fixed Wireless
1033,895473,ID,North Gem School District 149,172,Rural,Small,True,250,250,1453,1553,Fiber,Fiber
1034,895474,ID,Notus School District 135,411,Rural,Small,True,700,300,1703,752,Fiber,Fiber
1035,895476,ID,Orofino Jt School District 171,1127,Town,Medium,True,1000,1000,887,893,Fiber,Fiber
1036,895483,ID,Prairie Elementary District,2,Rural,Tiny,True,6,6,3000,3000,Copper,Copper
1037,895486,ID,Rockland School District 382,181,Rural,Tiny,True,1000,1000,5525,5714,Fiber,Fiber
1038,895491,ID,Soda Springs Jt School District 150,828,Town,Small,True,1500,1500,1812,1825,Fiber,Fiber
1039,895492,ID,South Lemhi School District 292,85,Rural,Small,True,200,200,2353,1942,Fixed Wireless,Fixed Wireless
1040,895495,ID,Swan Valley Elementary Dist,50,Rural,Tiny,True,300,300,6000,6000,Fiber,Fiber
1041,895496,ID,Teton County School District 401,1728,Rural,Medium,True,2000,2000,1157,1080,Fiber,Fiber
1042,895497,ID,Three Creek Jt Elem District,13,Rural,Tiny,True,50,50,3846,4545,Fiber,Fiber
1043,895503,ID,West Jefferson School District 253,609,Rural,Small,True,1000,1000,1642,1534,Fiber,Fiber
1044,895505,ID,Wilder School District 133,481,Rural,Small,True,500,500,1040,1253,Fiber,Fiber
1045,900618,IL,Blue Ridge Community School District 18,769,Rural,Small,True,1000,1000,1300,1304,Fiber,Fiber
1046,900640,IL,GCMS School District 5,994,Town,Small,True,1000,100,1006,99,Fiber,Fiber
1047,900642,IL,Gallatin Co Community Unit School District 7,752,Rural,Small,True,1000,1000,1330,1309,Fiber,Fiber
1048,900672,IL,Brussels Community Unit School District 42,130,Rural,Small,True,500,25,3846,194,Fiber,Fiber
1049,900678,IL,N Chicago C U School District 187,2761,Suburban,Medium,True,3000,3000,1087,928,Fiber,Fiber
1050,900682,IL,South Central District Unit 401,610,Rural,Small,True,1000,1000,1639,1529,Fiber,Fiber
1051,900687,IL,North Shore School District 112,3858,Suburban,Medium,True,8000,8000,2074,1965,Fiber,Fiber
